%% LaTeX2e file `hyb-2500-4.csv'
%% generated by the `filecontents' environment
%% from source `hyb_2500_4' on 2020/08/29.
%%
destination,gray,osp_c,osp_f,osp_d,osp_s,dsp_f,dsp_d,dsp_s,gsp_f,gsp_d,gsp_s
Sol,54.5,72.22,0,1.67,26.11,0,73.89,26.11,49.44,50.56,0
Ali,100,40.61,0,0,59.39,1.52,38.79,59.7,59.09,39.7,1.21
Cor,90.9,26.67,0,0.33,73,0.67,26.33,73,65.33,34.67,0
Cala,90.9,27,0,1.33,71.67,0,28.33,71.67,64.33,35.67,0
Calv,90.9,39.67,0,0,60.33,1.33,38.33,60.33,60,40,0
Ile,90.9,21,0,0,79,0,20.67,79.33,56,39.67,4.33
Pie,90.9,19,0,0.67,80.33,0,19.33,80.67,72.67,10.33,17
Bas,90.9,25,0,0.67,74.33,0,25.33,74.67,69.67,18.33,12
San,72.7,11.25,0,0.42,88.33,0,11.67,88.33,85.83,4.17,10
Ole,81.8,12.96,0,0,87.04,0,12.96,87.04,75.19,12.96,11.85
Cag,90.9,46.67,0,0.33,53,0,46.33,53.67,83.33,6.67,10
Cap,90.9,63,0,0,37,3.67,59.33,37,64.33,25.67,10
