%% LaTeX2e file `hyb-2500-8.csv'
%% generated by the `filecontents' environment
%% from source `hyb_2500_8' on 2020/08/29.
%%
destination,gray,osp_c,osp_f,osp_d,osp_s,dsp_f,dsp_d,dsp_s,gsp_f,gsp_d,gsp_s
Sol,54.5,71.67,0,1.11,27.22,0,72.78,27.22,51.11,48.89,0
Ali,100,35.76,0,0.61,63.64,0,36.36,63.64,65.45,33.33,1.21
Cor,90.9,25.67,0,0,74.33,0,25.67,74.33,63.33,36,0.67
Cala,90.9,25,0,0,75,0,25.67,74.33,61,38,1
Calv,90.9,25.33,0,0.67,74,0,25,75,56,31,13
Ile,90.9,9,0,0.67,90.33,0,9.67,90.33,48,39.67,12.33
Pie,90.9,8,0,0.67,91.33,0,10.67,89.33,60.67,24,15.33
Bas,90.9,16.67,0,0.67,82.67,0,16.33,83.67,65.67,22.67,11.67
San,72.7,3.33,0,0,96.67,0,2.92,97.08,85,5.42,9.58
Ole,81.8,11.11,0,0,88.89,0,11.11,88.89,74.81,13.33,11.85
Cag,90.9,32.33,0,0.33,67.33,0,32.33,67.67,80.33,9.67,10
Cap,90.9,34.67,0,0.67,64.67,0,36,64,76,14,10
