%% LaTeX2e file `hyb-5000-8.csv'
%% generated by the `filecontents' environment
%% from source `hyb_5000_8' on 2020/08/29.
%%
destination,gray,osp_c,osp_f,osp_d,osp_s,dsp_f,dsp_d,dsp_s,gsp_f,gsp_d,gsp_s
Sol,100,4.55,0,1.82,93.64,0,5.45,94.55,39.39,59.09,1.52
Ali,100,0,0,0,100,0,0,100,35.45,52.73,11.82
Cor,81.8,0,0,0,100,0,0,100,51.85,20.74,27.41
Cala,81.8,0,0,0,100,0,0,100,52.96,16.67,30.37
Calv,90.9,0,0,0,100,0,0,100,38.33,39.33,22.33
Ile,72.7,0,0,0,100,0,0,100,50,32.08,17.92
Pie,54.5,0,0,0,100,0,0,100,70.56,6.11,23.33
Bas,81.8,0,0,0,100,0,0,100,44.07,34.07,21.85
San,63.6,0,0,0,100,0,0,100,61.9,9.52,28.57
Ole,63.6,0,0,0,100,0,0,100,55.71,13.81,30.48
Cag,81.8,6.3,0,1.48,92.22,0,5.93,94.07,79.63,20.37,0
Cap,90.9,7.67,0,0.33,92,0,8,92,49,50.67,0.33
