%% LaTeX2e file `del-5000-8.csv'
%% generated by the `filecontents' environment
%% from source `del_5000_8' on 2020/08/29.
%%
destination,gray,osp_c,osp_f,osp_d,osp_s,dsp_f,dsp_d,dsp_s,gsp_f,gsp_d,gsp_s
Sol,100,14.55,0,2.12,83.33,0,15.76,84.24,34.24,65.15,0.61
Ali,100,0.91,0,0,99.09,0,0.91,99.09,31.52,62.42,6.06
Cor,81.8,0,0,0,100,0,0,100,43.33,41.48,15.19
Cala,81.8,0,0,0,100,0,0,100,42.59,38.15,19.26
Calv,90.9,2.33,0,0.33,97.33,0,2.33,97.67,46,37.33,16.67
Ile,72.7,0,0,0,100,0,0,100,42.08,45,12.92
Pie,54.5,0,0,0,100,0,0,100,48.33,11.67,40
Bas,81.8,0,0,0,100,0,0,100,52.22,27.78,20
San,63.6,0,0,0,100,0,0,100,56.67,5.24,38.1
Ole,63.6,0,0,0,100,0,0,100,48.1,19.05,32.86
Cag,81.8,8.15,0,2.22,89.63,0,9.26,90.74,39.63,49.26,11.11
Cap,90.9,10.67,0,2,87.33,0,11.67,88.33,38.67,47.67,13.67
