,voronoi
0,0.0
1,14.16634004265653
2,33.20539182847958
3,42.927196802413555
4,54.41506574846858
5,45.25594715059553
6,55.069079251678176
7,57.43618760900114
8,64.76731488023898
9,72.37866889800213
10,73.17796664755099
11,76.56473658524257
12,86.3503020957263
13,81.30551153431163
14,90.66087028700224
15,104.09926170886621
16,100.40509587989965
17,97.5968356538164
18,104.01326521034088
19,105.5497556501744
20,109.72159703768467
21,113.08524770758308
22,113.0443593694988
23,141.1048493944874
24,128.29437745052573
25,143.74753364188865
26,132.7245144251503
27,137.06046391257982
28,144.48703060382238
29,143.83514813237403
30,171.50316836174096
31,185.88197769861813
32,154.21761919302216
