coor;name
[42.40206714743347, 9.337107644270118];(CORTE,BASTIA)
[41.924292254355414, 8.99083161972732];(SOLENZARA,CALACUCCIA)
[42.93182744707514, 9.05048969647781];(ILE_ROUSSE,CAP_CORSE)
[42.849429721926626, 9.232609241418414];(CAP_CORSE,SAN_PIETRO_DI_TENDA)
[42.459970487337415, 9.33573624994353];(BASTIA,PIETRALBA)
[42.721356335827586, 9.50099625314758];(BASTIA,CAGNANO)
[42.78327526937473, 9.295944257685424];(CAGNANO,SAN_PIETRO_DI_TENDA)
