"budget, whites, grays, blacks, abort, success, delivered, fail"
1000,0.2,13.1,86.8,0,4.1,6.9,89.0
2000,0.2,52.0,47.8,0,3.6,9.4,87.0
3000,0.1,83.1,16.8,0,5.0,9.7,85.2
4000,0.6,94.7,4.7,0,5.7,16.9,77.4
5000,0.8,99.0,0.2,0,9.0,26.6,64.4
6000,1.9,98.1,0.0,0,15.8,36.9,47.3
7000,1.8,98.2,0.0,0,20.4,42.5,37.1
8000,2.6,97.4,0.0,0,25.5,44.7,29.7
9000,2.8,97.2,0.0,0,31.6,50.3,18.1
10000,4.7,95.3,0.0,0,41.1,45.5,13.3
11000,3.9,96.1,0.0,0,48.9,42.7,8.5
12000,5.1,94.9,0.0,0,51.9,39.9,8.2
13000,6.6,93.4,0.0,0,60.5,34.0,5.5
14000,6.2,93.7,0.0,0,66.7,30.3,3.0
15000,7.7,92.3,0.0,0,75.3,23.1,1.6
16000,11.6,88.4,0.0,0,80.7,17.6,1.7
17000,10.2,89.8,0.0,0,86.0,12.7,1.2
18000,12.3,87.7,0.0,0,81.8,17.2,1.0
19000,14.0,86.0,0.0,0,86.2,13.0,0.8
20000,17.9,82.1,0.0,0,88.9,9.7,1.3
21000,15.2,84.8,0.0,0,92.1,7.5,0.4
22000,20.1,79.9,0.0,0,96.0,4.0,0.0
23000,20.2,79.8,0.0,0,95.7,4.2,0.2
24000,22.0,78.0,0.0,0,95.1,4.7,0.2
25000,24.1,75.9,0.0,0,97.7,2.2,0.1
26000,33.0,67.0,0.0,0,99.4,0.6,0.0
27000,31.1,68.9,0.0,0,98.4,1.5,0.1
28000,32.6,67.4,0.0,0,98.3,1.6,0.1
29000,34.5,65.5,0.0,0,99.0,1.0,0.0
30000,34.5,65.5,0.0,0,99.4,0.6,0.0
31000,41.6,58.4,0.0,0,99.8,0.2,0.0
32000,45.2,54.8,0.0,0,99.9,0.1,0.0
33000,43.0,57.0,0.0,0,99.2,0.8,0.0
34000,44.3,55.7,0.0,0,99.9,0.1,0.0
35000,50.4,49.6,0.0,0,99.8,0.2,0.0
36000,52.2,47.8,0.0,0,99.8,0.2,0.0
37000,61.1,38.9,0.0,0,99.8,0.2,0.0
38000,56.0,44.0,0.0,0,99.7,0.3,0.0
39000,57.5,42.5,0.0,0,100.0,0.0,0.0
40000,59.6,40.4,0.0,0,100.0,0.0,0.0
41000,66.1,33.9,0.0,0,100.0,0.0,0.0
42000,72.7,27.3,0.0,0,100.0,0.0,0.0
43000,68.2,31.8,0.0,0,99.9,0.1,0.0
44000,70.8,29.2,0.0,0,100.0,0.0,0.0
45000,69.4,30.6,0.0,0,100.0,0.0,0.0
46000,75.5,24.5,0.0,0,100.0,0.0,0.0
47000,77.4,22.6,0.0,0,100.0,0.0,0.0
48000,77.0,23.0,0.0,0,99.7,0.3,0.0
49000,78.3,21.7,0.0,0,100.0,0.0,0.0
50000,85.5,14.5,0.0,0,100.0,0.0,0.0
