"budget, whites, grays, blacks, abort, success, delivered, fail"
1000,0.0,8.2,91.8,0,4.5,11.5,84.0
2000,0.1,21.0,78.9,0,3.3,11.4,85.2
3000,0.2,43.6,56.2,0,3.6,9.4,87.0
4000,0.3,66.2,33.4,0,3.7,10.4,85.9
5000,0.4,83.4,16.2,0,5.0,15.3,79.8
6000,0.6,89.8,9.7,0,5.0,17.0,78.0
7000,1.2,94.8,4.1,0,8.7,21.3,70.0
8000,1.0,98.2,0.8,0,12.3,28.8,58.9
9000,1.0,97.0,2.0,0,12.5,32.7,54.8
10000,2.1,97.7,0.2,0,18.4,38.8,42.9
11000,2.8,97.0,0.2,0,22.5,40.2,37.3
12000,2.7,97.3,0.0,0,23.1,39.1,37.8
13000,3.3,96.7,0.0,0,23.5,43.2,33.3
14000,4.8,95.1,0.1,0,33.4,40.9,25.7
15000,4.6,95.4,0.0,0,38.2,44.2,17.6
16000,3.4,96.6,0.0,0,31.9,46.9,21.2
17000,5.6,94.4,0.0,0,45.8,40.8,13.4
18000,5.8,94.2,0.0,0,45.4,44.5,10.1
19000,7.7,92.3,0.0,0,51.9,37.6,10.5
20000,5.8,94.2,0.0,0,53.4,39.4,7.2
21000,6.8,93.2,0.0,0,53.0,38.9,8.1
22000,7.2,92.8,0.0,0,60.0,35.0,5.0
23000,9.4,90.6,0.0,0,64.5,31.5,4.0
24000,11.3,88.7,0.0,0,64.9,30.1,4.9
25000,9.6,90.4,0.0,0,70.7,27.2,2.2
26000,13.3,86.7,0.0,0,71.3,26.7,2.0
27000,13.3,86.7,0.0,0,78.0,20.6,1.3
28000,13.3,86.7,0.0,0,75.0,23.2,1.8
29000,19.8,80.2,0.0,0,80.9,18.3,0.7
30000,17.8,82.2,0.0,0,81.0,17.9,1.0
31000,18.7,81.3,0.0,0,80.9,17.1,2.0
32000,17.2,82.8,0.0,0,85.9,13.8,0.3
33000,18.3,81.7,0.0,0,86.7,13.0,0.3
34000,21.3,78.8,0.0,0,86.0,13.4,0.6
35000,23.5,76.5,0.0,0,89.0,10.3,0.7
36000,23.8,76.2,0.0,0,90.3,9.4,0.3
37000,23.8,76.2,0.0,0,91.4,8.6,0.0
38000,25.4,74.6,0.0,0,89.3,10.6,0.1
39000,25.2,74.8,0.0,0,91.6,8.3,0.1
40000,29.1,70.9,0.0,0,94.4,5.5,0.1
41000,32.7,67.3,0.0,0,89.8,10.1,0.1
42000,36.5,63.5,0.0,0,94.7,5.0,0.3
43000,34.6,65.4,0.0,0,97.2,2.8,0.0
44000,37.4,62.6,0.0,0,95.0,4.8,0.2
45000,38.4,61.6,0.0,0,95.5,4.5,0.0
46000,39.8,60.2,0.0,0,97.0,3.0,0.0
47000,39.2,60.8,0.0,0,96.4,3.6,0.0
48000,42.3,57.7,0.0,0,97.4,2.6,0.0
49000,37.4,62.6,0.0,0,96.6,3.2,0.2
50000,41.2,58.8,0.0,0,98.9,1.1,0.0
