"budget, whites, grays, blacks, abort, success, delivered, fail"
1000,0.1,9.4,90.5,0,5.3,6.1,88.6
2000,0.2,32.4,67.4,0,4.7,8.0,87.3
3000,0.3,65.3,34.3,0,3.6,9.2,87.2
4000,0.2,87.7,12.0,0,5.0,15.2,79.8
5000,0.4,96.5,3.1,0,6.5,17.3,76.2
6000,1.0,98.8,0.2,0,11.3,29.0,59.7
7000,2.2,97.8,0.0,0,14.7,35.5,49.8
8000,2.0,98.0,0.0,0,19.4,41.4,39.2
9000,2.1,97.9,0.0,0,26.5,42.1,31.4
10000,2.5,97.5,0.0,0,25.8,45.3,28.9
11000,2.8,97.2,0.0,0,28.7,46.2,25.0
12000,3.4,96.6,0.0,0,37.4,45.3,17.4
13000,3.7,96.3,0.0,0,44.7,44.8,10.5
14000,5.9,94.1,0.0,0,52.7,37.7,9.5
15000,6.2,93.8,0.0,0,55.2,36.4,8.4
16000,6.5,93.5,0.0,0,59.4,34.6,6.0
17000,6.4,93.6,0.0,0,64.2,32.3,3.5
18000,9.4,90.6,0.0,0,70.5,25.7,3.8
19000,11.2,88.7,0.0,0,74.9,22.8,2.3
20000,10.3,89.7,0.0,0,75.0,23.5,1.6
21000,11.9,88.1,0.0,0,79.4,18.6,2.0
22000,14.9,85.1,0.0,0,86.5,12.9,0.6
23000,12.0,88.0,0.0,0,82.0,16.8,1.2
24000,15.0,85.0,0.0,0,88.9,10.7,0.4
25000,18.3,81.7,0.0,0,87.0,12.5,0.5
26000,18.8,81.2,0.0,0,91.4,8.3,0.3
27000,20.6,79.4,0.0,0,90.7,8.7,0.7
28000,22.1,77.9,0.0,0,94.3,5.7,0.0
29000,23.6,76.4,0.0,0,94.9,5.1,0.1
30000,23.1,76.9,0.0,0,96.1,3.9,0.0
31000,25.9,74.1,0.0,0,95.5,4.4,0.1
32000,30.8,69.2,0.0,0,96.6,3.4,0.0
33000,35.3,64.8,0.0,0,97.8,2.2,0.0
34000,33.8,66.2,0.0,0,98.8,1.2,0.0
35000,39.1,60.9,0.0,0,98.7,1.3,0.0
36000,37.2,62.8,0.0,0,99.3,0.7,0.0
37000,44.3,55.7,0.0,0,98.2,1.8,0.1
38000,45.8,54.2,0.0,0,99.5,0.5,0.0
39000,48.2,51.8,0.0,0,99.6,0.4,0.0
40000,49.2,50.8,0.0,0,99.3,0.7,0.0
41000,49.7,50.3,0.0,0,99.1,0.9,0.0
42000,51.0,49.0,0.0,0,99.7,0.3,0.0
43000,57.6,42.4,0.0,0,99.6,0.4,0.0
44000,57.5,42.5,0.0,0,99.7,0.3,0.0
45000,59.8,40.2,0.0,0,99.6,0.4,0.0
46000,52.2,47.8,0.0,0,99.7,0.3,0.0
47000,60.1,39.9,0.0,0,99.6,0.4,0.0
48000,66.0,34.0,0.0,0,99.7,0.3,0.0
49000,62.8,37.2,0.0,0,99.9,0.1,0.0
50000,70.5,29.5,0.0,0,100.0,0.0,0.0
