"budget, whites, grays, blacks, abort, success, delivered, fail"
200,0.2,32.8,67.1,0,3.7,14.4,82.0
400,0.5,89.8,9.8,0,3.1,15.1,81.8
600,1.0,98.4,0.6,0,9.0,30.1,60.9
800,1.7,98.2,0.1,0,15.5,40.7,43.9
1000,1.9,98.1,0.0,0,19.8,44.4,35.8
1200,3.4,96.6,0.0,0,31.6,43.2,25.2
1400,4.8,95.2,0.0,0,39.3,45.2,15.5
1600,7.3,92.7,0.0,0,55.5,37.3,7.2
1800,7.6,92.4,0.0,0,60.6,32.2,7.2
2000,8.8,91.2,0.0,0,62.8,31.9,5.3
2200,15.2,84.8,0.0,0,73.4,23.9,2.7
2400,15.8,84.2,0.0,0,79.2,19.2,1.6
2600,17.1,82.9,0.0,0,84.5,14.7,0.8
2800,19.3,80.8,0.0,0,81.5,17.6,0.9
3000,25.3,74.7,0.0,0,90.4,9.1,0.6
3200,28.6,71.4,0.0,0,93.2,6.6,0.2
3400,29.5,70.5,0.0,0,90.6,9.0,0.4
3600,42.1,57.9,0.0,0,94.8,5.1,0.1
3800,43.6,56.4,0.0,0,97.9,2.1,0.0
4000,47.2,52.8,0.0,0,97.0,3.0,0.0
4200,54.3,45.7,0.0,0,97.8,1.9,0.3
4400,58.9,41.1,0.0,0,99.4,0.6,0.0
4600,59.2,40.8,0.0,0,98.9,1.1,0.0
4800,62.2,37.8,0.0,0,99.7,0.3,0.0
5000,67.3,32.7,0.0,0,99.2,0.8,0.0
