"budget, whites, grays, blacks, abort, success, delivered, fail"
200,0.0,46.9,53.1,0,1.9,15.9,82.2
400,0.3,97.3,2.3,0,5.2,21.1,73.7
600,1.5,98.5,0.0,0,13.4,35.1,51.6
800,2.1,97.9,0.0,0,21.0,46.9,32.1
1000,3.6,96.4,0.0,0,32.2,48.1,19.7
1200,5.4,94.6,0.0,0,49.4,39.9,10.7
1400,6.9,93.1,0.0,0,60.2,34.1,5.7
1600,11.9,88.1,0.0,0,69.9,25.6,4.4
1800,11.5,88.5,0.0,0,76.5,21.3,2.2
2000,14.2,85.8,0.0,0,79.3,17.8,2.9
2200,17.3,82.7,0.0,0,87.6,11.3,1.1
2400,22.1,77.9,0.0,0,87.4,11.3,1.3
2600,27.2,72.8,0.0,0,92.4,7.0,0.6
2800,31.2,68.8,0.0,0,95.2,4.6,0.1
3000,35.2,64.8,0.0,0,95.7,4.3,0.0
3200,41.8,58.3,0.0,0,97.3,2.6,0.1
3400,47.3,52.7,0.0,0,98.6,1.2,0.2
3600,52.4,47.6,0.0,0,98.0,1.6,0.4
3800,59.2,40.8,0.0,0,99.7,0.3,0.0
4000,62.1,37.9,0.0,0,98.9,1.1,0.0
4200,64.4,35.6,0.0,0,99.6,0.4,0.0
4400,77.2,22.8,0.0,0,99.6,0.4,0.0
4600,71.8,28.2,0.0,0,99.1,0.9,0.0
4800,73.4,26.6,0.0,0,99.8,0.2,0.0
5000,78.9,21.1,0.0,0,99.3,0.7,0.0
