"budget, whites, grays, blacks, abort, success, delivered, fail"
1000,0.1,6.8,93.1,0,4.5,12.8,82.7
2000,0.2,14.4,85.3,0,6.4,10.1,83.5
3000,0.0,27.3,72.7,0,6.3,12.3,81.5
4000,0.3,43.9,55.8,0,4.5,11.0,84.5
5000,0.2,52.8,47.1,0,6.0,9.9,84.1
6000,0.6,64.7,34.7,0,6.4,14.2,79.4
7000,0.8,78.3,20.9,0,6.5,15.8,77.7
8000,0.8,80.4,18.8,0,6.7,17.7,75.6
9000,1.2,89.9,8.9,0,9.9,18.5,71.5
10000,1.8,93.2,5.0,0,11.5,24.8,63.8
11000,2.1,95.0,2.9,0,13.5,24.5,62.1
12000,1.4,93.8,4.8,0,12.2,24.2,63.6
13000,1.9,97.3,0.8,0,14.9,29.2,55.9
14000,2.2,97.4,0.4,0,16.6,30.8,52.6
15000,3.5,95.9,0.6,0,23.8,34.2,42.0
16000,3.5,96.2,0.2,0,23.2,38.8,38.0
17000,3.0,96.9,0.1,0,22.7,39.5,37.8
18000,3.6,95.9,0.5,0,23.2,33.9,42.9
19000,6.3,93.7,0.0,0,31.6,39.4,28.9
20000,4.8,95.2,0.0,0,30.2,41.2,28.6
21000,4.8,95.2,0.0,0,34.0,41.0,25.0
22000,6.9,93.1,0.0,0,34.0,40.6,25.3
23000,6.5,93.5,0.0,0,38.9,41.6,19.5
24000,6.5,93.5,0.0,0,35.1,38.9,25.9
25000,7.1,92.9,0.0,0,42.2,42.2,15.7
26000,8.8,91.2,0.0,0,47.5,41.5,11.0
27000,9.5,90.5,0.0,0,46.1,41.9,12.0
28000,8.6,91.4,0.0,0,45.3,42.6,12.1
29000,9.0,91.0,0.0,0,49.4,40.7,9.9
30000,9.6,90.4,0.0,0,50.7,39.1,10.2
31000,10.2,89.8,0.0,0,49.6,40.0,10.4
32000,10.1,89.9,0.0,0,52.5,39.9,7.6
33000,12.5,87.5,0.0,0,55.7,37.3,7.0
34000,13.1,86.9,0.0,0,57.4,35.3,7.3
35000,11.5,88.5,0.0,0,59.5,36.9,3.7
36000,13.2,86.8,0.0,0,57.1,37.0,5.9
37000,16.3,83.8,0.0,0,61.8,33.7,4.5
38000,17.2,82.8,0.0,0,70.2,27.2,2.6
39000,14.5,85.5,0.0,0,63.8,32.0,4.3
40000,16.7,83.3,0.0,0,67.2,30.5,2.3
41000,16.9,83.1,0.0,0,70.9,27.2,2.0
42000,20.2,79.8,0.0,0,68.4,29.1,2.5
43000,20.3,79.7,0.0,0,73.1,23.0,3.8
44000,18.8,81.2,0.0,0,75.4,22.2,2.4
45000,21.3,78.7,0.0,0,68.3,29.2,2.5
46000,24.0,76.0,0.0,0,77.5,21.0,1.5
47000,24.5,75.5,0.0,0,79.8,19.8,0.4
48000,25.4,74.6,0.0,0,83.6,14.5,1.9
49000,22.1,77.9,0.0,0,79.3,20.5,0.2
50000,20.1,79.9,0.0,0,78.8,20.1,1.1
