"budget, whites, grays, blacks, abort, success, delivered, fail"
200,0.2,15.0,84.8,0,2.2,14.8,83.1
400,0.0,44.0,56.0,0,0.8,12.6,86.5
600,0.2,68.7,31.0,0,3.8,13.7,82.4
800,0.8,81.0,18.1,0,7.9,15.8,76.2
1000,2.1,94.8,3.1,0,10.3,23.5,66.2
1200,1.3,97.7,1.0,0,6.5,17.9,75.7
1400,2.1,97.5,0.4,0,10.7,27.6,61.7
1600,3.5,96.5,0.0,0,16.0,29.8,54.2
1800,3.3,96.7,0.0,0,21.8,31.1,47.2
2000,5.6,94.4,0.0,0,17.5,38.8,43.7
2200,7.1,92.9,0.0,0,29.5,38.8,31.7
2400,4.2,95.8,0.0,0,24.6,37.7,37.8
2600,8.8,91.2,0.0,0,28.1,45.4,26.5
2800,8.5,91.5,0.0,0,33.0,36.2,30.9
3000,11.0,89.0,0.0,0,37.9,42.0,20.2
3200,15.0,85.0,0.0,0,47.8,41.3,10.8
3400,10.6,89.4,0.0,0,39.9,43.0,17.1
3600,12.5,87.5,0.0,0,50.3,41.0,8.7
3800,18.8,81.2,0.0,0,62.6,31.3,6.2
4000,14.0,86.0,0.0,0,48.6,37.8,13.7
4200,16.0,84.0,0.0,0,51.8,37.3,10.9
4400,23.1,76.9,0.0,0,59.9,32.8,7.3
4600,22.5,77.5,0.0,0,63.4,34.2,2.4
4800,26.2,73.8,0.0,0,68.2,29.2,2.6
5000,27.9,72.1,0.0,0,72.8,25.3,1.8
