"budget, whites, grays, blacks, abort, h_abort, success, delivered, fail"
1000,0.0,7.7,92.3,91.5,10.0,4.8,3.7,0.0
2000,0.1,20.8,79.2,94.6,6.6,4.2,1.0,0.2
3000,0.3,46.2,53.5,94.8,7.6,3.5,1.4,0.3
4000,0.7,71.9,27.4,92.7,11.1,4.8,1.9,0.6
5000,0.3,86.0,13.7,93.7,12.1,4.2,1.2,0.9
6000,0.8,91.8,7.3,90.6,15.0,5.1,3.2,1.1
7000,0.7,94.9,4.4,91.1,17.9,5.4,2.7,0.8
8000,0.9,97.8,1.2,84.8,26.9,9.2,4.7,1.3
9000,1.3,98.6,0.2,79.7,33.2,11.3,7.2,1.9
10000,1.8,98.1,0.1,69.9,33.8,17.7,10.0,2.4
11000,3.0,96.9,0.1,72.7,30.5,16.8,8.3,2.2
12000,2.7,97.3,0.0,65.9,38.8,20.6,10.9,2.6
13000,3.0,97.0,0.0,58.1,38.1,27.1,12.9,1.9
14000,4.4,95.6,0.0,49.1,35.3,33.7,14.2,3.0
15000,3.4,96.6,0.0,53.5,36.5,31.5,13.4,1.6
16000,5.1,94.9,0.0,42.7,31.6,37.0,17.6,2.7
17000,5.3,94.8,0.0,46.9,32.3,34.5,15.5,3.1
18000,6.2,93.8,0.0,37.8,27.2,42.9,16.9,2.4
19000,5.6,94.4,0.0,42.3,32.6,39.7,16.6,1.4
20000,7.3,92.8,0.0,26.1,20.8,53.3,19.3,1.4
21000,8.6,91.4,0.0,22.3,18.2,56.0,20.0,1.6
22000,9.1,90.9,0.0,25.4,18.2,58.7,15.1,0.7
23000,9.9,90.1,0.0,17.6,15.0,60.5,20.2,1.7
24000,9.6,90.4,0.0,22.5,18.4,60.3,16.1,1.1
25000,14.1,85.9,0.0,11.3,10.0,73.2,14.6,0.9
26000,11.3,88.7,0.0,15.1,12.0,68.4,15.6,0.9
27000,14.5,85.5,0.0,13.4,12.4,72.8,12.4,1.5
28000,13.9,86.1,0.0,13.9,12.3,73.4,12.3,0.4
29000,17.2,82.8,0.0,12.3,10.8,76.0,11.3,0.4
30000,16.3,83.7,0.0,9.1,6.9,78.9,11.4,0.6
31000,15.5,84.5,0.0,7.9,7.3,80.1,11.6,0.4
32000,18.8,81.2,0.0,4.9,4.8,85.7,9.3,0.1
33000,19.0,81.0,0.0,9.5,8.5,82.0,8.3,0.2
34000,24.2,75.8,0.0,6.7,6.5,85.8,7.2,0.3
35000,20.8,79.3,0.0,11.8,11.3,81.9,6.0,0.3
36000,24.4,75.6,0.0,7.3,7.1,87.3,5.2,0.2
37000,24.7,75.3,0.0,2.8,2.8,91.6,5.6,0.0
38000,30.2,69.8,0.0,2.7,2.7,90.6,6.4,0.2
39000,27.0,73.0,0.0,3.6,3.4,91.2,5.2,0.0
40000,29.9,70.1,0.0,2.7,2.2,92.3,5.0,0.0
41000,32.4,67.6,0.0,2.1,2.1,95.1,2.8,0.0
42000,29.8,70.2,0.0,3.9,3.8,93.1,3.0,0.0
43000,32.8,67.2,0.0,1.4,1.4,95.0,3.6,0.0
44000,35.2,64.8,0.0,3.3,3.1,94.8,1.9,0.0
45000,37.6,62.4,0.0,2.3,2.2,94.6,3.1,0.0
46000,35.1,64.9,0.0,3.2,3.2,95.2,1.5,0.1
47000,39.8,60.2,0.0,3.2,3.2,95.0,1.7,0.0
48000,39.7,60.3,0.0,2.4,2.4,94.7,2.9,0.0
49000,46.4,53.6,0.0,1.7,1.6,97.5,0.8,0.0
50000,46.0,54.0,0.0,1.1,1.1,97.1,1.8,0.0
