"budget, whites, grays, blacks, abort, h_abort, success, delivered, fail"
200,0.0,18.3,81.7,95.2,10.1,1.1,0.6,3.1
400,0.0,69.8,30.2,94.2,12.4,2.2,2.4,1.2
600,1.7,92.1,6.3,84.1,21.3,4.1,4.1,7.7
800,1.0,98.3,0.6,81.3,32.8,7.0,5.5,6.1
1000,2.7,96.7,0.6,79.3,39.6,5.6,9.3,5.8
1200,1.9,98.1,0.0,70.7,30.1,9.9,9.4,10.0
1400,5.4,94.6,0.0,48.6,33.2,18.7,16.9,15.8
1600,6.0,94.0,0.0,58.0,42.8,20.1,13.9,7.9
1800,5.4,94.6,0.0,47.6,40.4,26.9,16.6,8.9
2000,7.1,92.9,0.0,46.1,41.1,30.1,18.3,5.6
2200,7.9,92.1,0.0,30.2,28.0,38.5,26.3,5.0
2400,11.9,88.1,0.0,35.1,32.1,40.4,19.2,5.3
2600,12.3,87.7,0.0,16.2,15.7,50.8,26.4,6.5
2800,11.9,88.1,0.0,26.7,23.1,41.4,27.4,4.6
3000,16.2,83.8,0.0,19.3,18.6,49.1,26.8,4.8
3200,18.5,81.5,0.0,10.6,10.1,63.8,24.6,1.0
3400,24.0,76.0,0.0,10.9,10.7,68.6,19.7,0.8
3600,20.6,79.4,0.0,17.6,17.3,57.1,23.4,2.0
3800,29.4,70.6,0.0,15.8,15.6,68.3,14.6,1.2
4000,25.6,74.4,0.0,9.7,8.6,70.1,18.9,1.3
4200,36.9,63.1,0.0,7.9,7.4,69.9,21.2,1.1
4400,31.5,68.5,0.0,2.9,2.9,79.6,17.0,0.5
4600,39.0,61.0,0.0,9.0,9.0,77.2,13.8,0.0
4800,42.1,57.9,0.0,4.0,4.0,84.6,10.8,0.7
5000,46.5,53.5,0.0,6.9,6.9,79.4,13.3,0.3
