"budget, whites, grays, blacks, abort, h_abort, success, delivered, fail"
200,0.2,46.1,53.8,92.9,12.4,1.0,3.1,3.0
400,0.5,97.2,2.3,83.7,21.3,3.2,4.7,8.5
600,0.9,99.0,0.1,74.8,42.0,6.9,8.2,10.1
800,2.3,97.7,0.0,62.1,44.0,11.5,13.4,13.0
1000,4.4,95.6,0.0,51.9,39.9,18.7,16.4,12.9
1200,3.8,96.2,0.0,34.8,29.7,26.4,25.1,13.6
1400,7.5,92.5,0.0,21.1,20.9,39.9,28.5,10.5
1600,11.0,89.0,0.0,14.1,13.7,44.9,32.6,8.4
1800,14.2,85.8,0.0,8.2,7.9,55.3,30.3,6.1
2000,17.3,82.7,0.0,3.4,3.4,65.2,26.7,4.7
2200,18.5,81.5,0.0,6.2,5.8,63.4,25.8,4.6
2400,20.9,79.1,0.0,2.7,2.7,75.2,19.2,2.9
2600,29.3,70.7,0.0,1.9,1.9,77.0,18.9,2.3
2800,33.2,66.8,0.0,0.3,0.3,81.0,17.1,1.6
3000,36.9,63.1,0.0,2.3,2.2,84.5,12.9,0.3
3200,43.6,56.4,0.0,0.9,0.9,89.9,8.9,0.3
3400,49.0,51.0,0.0,0.1,0.1,87.8,12.0,0.2
3600,59.0,41.0,0.0,0.8,0.8,87.2,11.2,0.8
3800,54.2,45.8,0.0,0.0,0.0,91.0,8.5,0.4
4000,63.1,36.9,0.0,1.4,1.4,92.9,5.7,0.0
4200,72.0,28.0,0.0,0.0,0.0,92.1,7.5,0.4
4400,71.2,28.8,0.0,0.0,0.0,97.7,2.3,0.0
4600,79.9,20.1,0.0,1.0,1.0,91.1,7.9,0.0
4800,77.4,22.6,0.0,0.0,0.0,97.2,2.8,0.0
5000,79.4,20.6,0.0,0.0,0.0,95.5,4.5,0.0
