"budget, whites, grays, blacks, abort, h_abort, success, delivered, fail"
200,0.0,12.3,87.7,94.4,16.0,0.0,5.6,0.0
400,0.4,43.3,56.2,89.5,10.5,1.6,1.9,7.0
600,0.2,65.6,34.2,93.0,12.1,1.5,2.2,3.3
800,1.0,71.2,27.7,92.3,9.3,1.5,3.4,2.7
1000,0.2,93.5,6.2,91.7,15.9,2.4,3.0,2.8
1200,2.3,93.5,4.2,83.5,24.4,6.9,5.9,3.7
1400,3.1,96.9,0.0,82.1,29.8,8.2,4.8,4.8
1600,4.0,95.6,0.4,80.0,29.6,10.1,5.6,4.2
1800,3.8,96.2,0.0,70.4,30.6,12.8,12.3,4.5
2000,5.6,94.4,0.0,71.5,41.7,16.6,9.2,2.6
2200,5.0,95.0,0.0,60.6,33.7,20.7,15.6,3.0
2400,5.4,94.6,0.0,60.5,40.6,17.3,15.9,6.3
2600,7.1,92.9,0.0,50.0,38.3,28.0,18.4,3.7
2800,9.0,91.0,0.0,58.3,43.5,22.5,13.4,5.8
3000,9.4,90.6,0.0,52.3,36.2,34.3,12.4,1.1
3200,9.4,90.6,0.0,43.0,36.5,34.2,18.7,4.1
3400,12.3,87.7,0.0,56.4,36.4,31.9,10.7,1.0
3600,15.6,84.4,0.0,42.4,32.6,39.3,16.5,1.8
3800,17.1,82.9,0.0,41.9,27.8,44.0,13.0,1.2
4000,18.5,81.5,0.0,41.8,36.3,42.8,14.9,0.5
4200,15.8,84.2,0.0,34.8,31.3,47.6,17.1,0.4
4400,18.1,81.9,0.0,36.8,30.8,46.1,15.9,1.2
4600,24.6,75.4,0.0,24.9,20.8,54.0,19.8,1.3
4800,20.2,79.8,0.0,32.6,26.8,53.4,12.6,1.4
5000,22.5,77.5,0.0,30.0,28.3,50.0,17.2,2.8
