"budget, whites, grays, blacks, abort, h_abort, success, delivered, fail"
1000,0.1,9.5,90.4,95.2,10.2,1.0,2.7,1.2
2000,0.2,35.1,64.8,94.6,7.5,3.0,1.4,1.0
3000,0.2,66.4,33.3,95.0,9.4,2.9,1.7,0.5
4000,0.5,85.4,14.1,94.6,12.5,2.4,2.2,0.8
5000,0.5,97.2,2.2,91.3,18.2,5.3,2.5,0.9
6000,0.8,98.5,0.8,83.5,24.6,9.8,5.4,1.3
7000,0.9,99.0,0.1,81.3,33.1,10.2,6.3,2.2
8000,2.0,98.0,0.0,70.1,37.1,16.9,10.8,2.2
9000,2.0,98.0,0.0,66.1,38.6,18.1,11.7,4.2
10000,3.2,96.8,0.0,58.2,39.5,24.5,14.0,3.4
11000,3.7,96.3,0.0,47.5,37.7,31.8,17.0,3.7
12000,3.3,96.8,0.0,42.2,33.2,34.5,19.9,3.4
13000,3.4,96.6,0.0,40.6,32.7,36.9,19.0,3.5
14000,4.8,95.2,0.0,34.4,27.6,42.5,19.2,3.9
15000,6.2,93.8,0.0,30.4,26.8,47.8,18.4,3.4
16000,6.0,94.0,0.0,23.2,18.3,55.8,18.5,2.5
17000,9.2,90.8,0.0,20.0,15.7,57.6,20.3,2.1
18000,7.4,92.6,0.0,13.7,13.3,62.4,21.7,2.1
19000,8.8,91.2,0.0,13.0,12.3,66.6,17.8,2.6
20000,10.6,89.4,0.0,17.6,16.5,63.5,17.8,1.2
21000,11.4,88.6,0.0,7.7,7.2,76.7,14.7,0.9
22000,14.4,85.6,0.0,8.0,7.8,78.5,13.1,0.5
23000,14.5,85.5,0.0,12.1,9.6,77.5,10.0,0.4
24000,15.2,84.8,0.0,7.7,7.2,83.8,8.3,0.2
25000,16.5,83.5,0.0,3.2,3.1,86.9,9.4,0.4
26000,18.3,81.7,0.0,5.0,4.7,86.2,8.2,0.6
27000,20.8,79.2,0.0,4.3,4.2,89.5,6.1,0.1
28000,20.7,79.3,0.0,2.5,2.5,90.6,6.8,0.0
29000,24.5,75.5,0.0,6.3,6.3,88.5,5.2,0.0
30000,21.8,78.2,0.0,0.4,0.4,92.9,6.6,0.1
31000,25.3,74.7,0.0,1.4,1.4,95.3,3.4,0.0
32000,29.8,70.2,0.0,0.6,0.6,95.3,4.0,0.1
33000,31.8,68.2,0.0,1.6,1.6,95.9,2.5,0.0
34000,31.5,68.5,0.0,1.3,1.3,95.8,2.9,0.1
35000,39.6,60.4,0.0,1.0,1.0,97.5,1.6,0.0
36000,37.5,62.5,0.0,1.7,1.7,96.9,1.4,0.0
37000,39.6,60.4,0.0,1.3,1.3,97.7,0.9,0.0
38000,42.3,57.7,0.0,0.3,0.3,98.6,1.2,0.0
39000,44.4,55.6,0.0,0.5,0.5,98.4,1.1,0.0
40000,46.9,53.1,0.0,0.2,0.2,99.2,0.6,0.0
41000,48.7,51.3,0.0,1.4,1.4,97.8,0.8,0.0
42000,44.8,55.2,0.0,2.0,2.0,97.2,0.8,0.0
43000,51.9,48.1,0.0,0.0,0.0,99.9,0.1,0.0
44000,57.5,42.5,0.0,0.0,0.0,99.9,0.1,0.0
45000,57.8,42.2,0.0,0.4,0.4,99.5,0.1,0.0
46000,62.2,37.8,0.0,0.5,0.5,99.0,0.5,0.0
47000,63.2,36.8,0.0,0.4,0.4,98.6,1.1,0.0
48000,66.5,33.5,0.0,0.3,0.3,99.6,0.1,0.0
49000,65.5,34.5,0.0,0.0,0.0,99.3,0.7,0.0
50000,67.4,32.6,0.0,0.3,0.3,99.7,0.0,0.0
