"budget, whites, grays, blacks, abort, h_abort, success, delivered, fail"
1000,0.0,11.9,88.1,96.9,10.6,2.6,0.5,0.0
2000,0.2,46.2,53.6,95.5,8.8,3.2,0.9,0.4
3000,0.2,86.1,13.8,95.8,9.4,2.3,1.4,0.5
4000,0.8,96.7,2.5,91.9,14.1,4.5,2.9,0.7
5000,1.1,98.8,0.1,88.2,27.0,7.0,3.3,1.4
6000,1.1,98.9,0.0,79.6,36.1,11.0,6.8,2.6
7000,2.0,98.0,0.0,74.8,38.2,14.5,7.7,3.0
8000,2.1,97.9,0.0,60.2,44.3,22.5,13.5,3.8
9000,2.2,97.8,0.0,58.3,41.2,22.7,15.6,3.4
10000,4.2,95.8,0.0,41.5,34.5,33.6,21.1,3.9
11000,4.2,95.8,0.0,29.7,25.5,43.1,22.3,5.0
12000,5.2,94.8,0.0,21.0,18.6,50.0,24.6,4.4
13000,6.2,93.8,0.0,18.2,17.0,56.4,21.9,3.5
14000,9.3,90.7,0.0,18.5,14.6,60.1,18.3,3.1
15000,6.8,93.2,0.0,17.5,15.9,59.3,20.8,2.5
16000,8.5,91.5,0.0,6.8,6.7,70.5,20.3,2.4
17000,11.3,88.7,0.0,6.6,6.3,72.3,18.8,2.4
18000,13.9,86.1,0.0,3.4,3.4,83.4,12.5,0.7
19000,15.1,84.9,0.0,5.4,3.9,81.3,12.6,0.6
20000,15.8,84.2,0.0,3.1,3.1,85.7,10.3,0.9
21000,15.5,84.5,0.0,2.6,2.6,86.3,10.8,0.3
22000,20.6,79.4,0.0,2.5,2.5,88.2,9.0,0.3
23000,20.1,79.9,0.0,1.3,1.3,90.8,7.5,0.5
24000,22.1,77.9,0.0,3.5,3.4,88.7,7.8,0.1
25000,25.8,74.2,0.0,1.8,1.8,92.7,5.3,0.2
26000,30.3,69.7,0.0,0.2,0.2,95.9,3.8,0.1
27000,27.2,72.7,0.0,0.4,0.4,96.1,3.4,0.1
28000,27.8,72.2,0.0,0.7,0.7,96.2,3.0,0.0
29000,35.7,64.3,0.0,1.0,1.0,97.6,1.4,0.0
30000,34.5,65.5,0.0,0.4,0.4,97.6,2.0,0.0
31000,35.2,64.8,0.0,1.6,1.6,97.0,1.4,0.0
32000,42.7,57.3,0.0,0.4,0.4,98.6,0.9,0.0
33000,45.6,54.4,0.0,0.0,0.0,99.1,0.9,0.0
34000,47.6,52.4,0.0,0.3,0.3,99.2,0.5,0.0
35000,47.5,52.5,0.0,1.9,1.9,97.7,0.4,0.0
36000,53.9,46.1,0.0,0.2,0.2,99.5,0.3,0.0
37000,57.8,42.2,0.0,0.0,0.0,99.7,0.3,0.0
38000,59.8,40.2,0.0,0.0,0.0,99.6,0.4,0.0
39000,60.2,39.8,0.0,0.0,0.0,99.6,0.4,0.0
40000,61.2,38.8,0.0,0.0,0.0,99.5,0.5,0.0
41000,66.5,33.5,0.0,0.0,0.0,99.6,0.4,0.0
42000,71.1,28.9,0.0,0.0,0.0,99.9,0.1,0.0
43000,68.4,31.6,0.0,0.0,0.0,100.0,0.0,0.0
44000,74.8,25.2,0.0,0.0,0.0,100.0,0.0,0.0
45000,74.3,25.7,0.0,0.0,0.0,99.9,0.1,0.0
46000,77.8,22.2,0.0,0.0,0.0,99.5,0.5,0.0
47000,77.1,22.9,0.0,0.0,0.0,100.0,0.0,0.0
48000,80.5,19.5,0.0,0.0,0.0,99.3,0.7,0.0
49000,80.8,19.2,0.0,0.0,0.0,100.0,0.0,0.0
50000,80.2,19.8,0.0,0.0,0.0,100.0,0.0,0.0
