200,0.1,43.7,56.2
400,0.6,97.4,2.0
600,1.5,98.5,0.0
800,2.6,97.4,0.0
1000,2.4,97.6,0.0
1200,6.2,93.8,0.0
1400,6.1,93.9,0.0
1600,9.8,90.2,0.0
1800,12.3,87.7,0.0
2000,14.2,85.8,0.0
2200,17.3,82.7,0.0
2400,20.9,79.1,0.0
2600,25.4,74.6,0.0
2800,28.7,71.3,0.0
3000,39.2,60.8,0.0
3200,44.7,55.3,0.0
3400,50.5,49.5,0.0
3600,55.1,44.9,0.0
3800,61.4,38.6,0.0
4000,61.5,38.5,0.0
4200,69.9,30.1,0.0
4400,73.7,26.3,0.0
4600,79.9,20.1,0.0
4800,79.0,21.0,0.0
5000,88.5,11.5,0.0
