"budget, whites, grays, blacks, abort, success, delivered, fail, fail_noway"
200,0.1,44.9,55.0,0,5.9,7.9,50.7,35.5
400,0.2,98.4,1.3,0,2.6,8.4,48.6,40.3
600,0.9,99.1,0.0,0,3.7,8.4,44.6,43.3
800,3.0,96.9,0.1,0,6.8,12.1,41.9,39.2
1000,3.8,96.2,0.0,0,6.3,14.7,35.6,43.4
1200,5.2,94.8,0.0,0,6.4,13.9,32.1,47.6
1400,6.8,93.2,0.0,0,7.5,16.3,32.4,43.9
1600,8.5,91.5,0.0,0,7.7,17.1,27.9,47.3
1800,12.6,87.4,0.0,0,10.3,21.3,22.6,45.9
2000,16.2,83.8,0.0,0,10.6,19.0,23.4,46.9
2200,20.9,79.1,0.0,0,11.6,22.3,22.6,43.6
2400,21.7,78.3,0.0,0,11.4,22.7,19.8,46.1
2600,23.0,77.0,0.0,0,14.0,20.5,15.5,50.1
2800,27.5,72.5,0.0,0,14.7,20.6,14.1,50.6
3000,34.3,65.7,0.0,0,19.4,19.0,11.6,49.9
3200,47.2,52.8,0.0,0,23.9,21.3,11.6,43.1
3400,49.0,51.0,0.0,0,22.8,17.8,11.7,47.7
3600,49.5,50.5,0.0,0,21.1,17.1,8.0,53.8
3800,57.8,42.2,0.0,0,22.2,16.2,8.4,53.2
4000,61.1,38.9,0.0,0,26.1,15.7,9.7,48.5
4200,65.8,34.2,0.0,0,23.0,16.7,4.6,55.7
4400,75.7,24.3,0.0,0,26.1,17.0,5.1,51.8
4600,71.9,28.1,0.0,0,22.7,13.4,5.2,58.8
4800,76.5,23.5,0.0,0,20.2,15.4,4.5,59.9
5000,81.3,18.7,0.0,0,18.2,13.6,4.1,64.1
