"budget, whites, grays, blacks, abort, success, delivered, fail, fail_noway"
1000,0.0,6.2,93.8,0,51.0,4.0,3.5,41.5
2000,0.2,11.4,88.4,0,21.2,3.3,7.4,68.1
3000,0.4,23.6,76.0,0,14.8,4.0,6.5,74.6
4000,0.2,40.3,59.5,0,7.0,3.1,6.5,83.4
5000,0.3,50.6,49.1,0,7.5,4.3,5.2,83.0
6000,0.3,68.7,30.9,0,5.2,2.2,6.6,86.0
7000,0.8,78.3,20.8,0,4.5,2.1,5.5,87.9
8000,0.7,79.8,19.5,0,4.9,1.8,3.7,89.6
9000,0.6,89.6,9.8,0,2.9,0.9,3.1,93.2
10000,1.4,88.6,10.0,0,4.2,1.4,3.6,90.8
11000,1.2,95.2,3.7,0,3.7,2.7,2.6,91.1
12000,1.4,97.3,1.2,0,3.2,1.4,2.3,93.1
13000,2.3,96.6,1.1,0,2.9,1.5,2.1,93.5
14000,1.7,98.2,0.1,0,3.3,1.6,1.3,93.8
15000,3.0,96.6,0.4,0,3.9,2.6,1.6,91.9
16000,3.9,95.8,0.2,0,3.6,1.8,1.5,93.1
17000,3.4,95.9,0.7,0,3.6,1.6,1.9,92.9
18000,4.5,95.5,0.0,0,4.2,2.1,1.4,92.3
19000,3.7,96.2,0.1,0,4.1,1.3,1.3,93.3
20000,4.8,95.2,0.0,0,3.0,1.5,1.3,94.2
21000,5.1,94.9,0.0,0,3.6,2.1,1.1,93.2
22000,7.1,92.9,0.0,0,4.5,1.6,1.0,92.8
23000,6.4,93.6,0.0,0,4.9,1.4,1.1,92.6
24000,8.2,91.8,0.0,0,4.1,1.8,1.1,93.0
25000,7.7,92.3,0.0,0,4.3,1.7,1.5,92.5
26000,6.5,93.5,0.0,0,4.1,1.0,0.5,94.4
27000,8.9,91.1,0.0,0,4.3,1.4,0.9,93.4
28000,9.5,90.5,0.0,0,3.9,1.6,0.8,93.7
29000,9.2,90.8,0.0,0,4.2,1.0,0.3,94.5
30000,10.8,89.2,0.0,0,3.9,1.6,0.6,93.8
31000,7.9,92.1,0.0,0,4.1,1.1,0.5,94.3
32000,11.2,88.8,0.0,0,4.5,1.0,0.4,94.1
33000,13.6,86.4,0.0,0,5.0,1.3,0.4,93.3
34000,12.4,87.6,0.0,0,4.9,1.0,0.6,93.6
35000,14.8,85.3,0.0,0,4.8,1.0,0.4,93.9
36000,12.2,87.8,0.0,0,4.1,1.6,0.7,93.6
37000,14.8,85.2,0.0,0,4.0,0.7,0.1,95.2
38000,14.4,85.6,0.0,0,3.0,0.1,0.0,96.9
39000,17.6,82.4,0.0,0,3.5,0.8,0.0,95.7
40000,16.3,83.8,0.0,0,3.7,1.4,0.3,94.6
41000,20.1,79.9,0.0,0,3.5,0.1,0.2,96.2
42000,17.2,82.8,0.0,0,4.5,0.3,0.1,95.1
43000,17.8,82.2,0.0,0,3.8,0.4,0.1,95.7
44000,20.2,79.8,0.0,0,2.4,0.9,0.2,96.5
45000,20.6,79.4,0.0,0,4.5,1.0,0.2,94.3
46000,17.4,82.6,0.0,0,3.3,0.9,0.0,95.9
47000,26.5,73.5,0.0,0,3.0,0.6,0.0,96.4
48000,20.9,79.1,0.0,0,4.7,0.5,0.1,94.7
49000,23.3,76.7,0.0,0,3.2,0.6,0.1,96.1
50000,30.6,69.4,0.0,0,3.8,0.8,0.0,95.4
