"budget, whites, grays, blacks, abort, success, delivered, fail, fail_noway"
200,0.2,33.4,66.4,0,7.3,10.3,32.3,50.0
400,0.2,86.0,13.8,0,2.0,6.3,27.2,64.5
600,0.9,98.7,0.4,0,2.8,7.4,25.4,64.4
800,2.0,98.0,0.0,0,3.6,7.1,22.2,67.0
1000,1.9,98.1,0.0,0,4.3,8.9,22.5,64.3
1200,3.7,96.3,0.0,0,6.0,11.5,23.1,59.4
1400,5.1,94.9,0.0,0,5.4,10.7,18.8,65.1
1600,6.3,93.7,0.0,0,6.1,12.7,18.3,62.9
1800,9.6,90.4,0.0,0,7.3,12.6,18.0,62.1
2000,11.6,88.4,0.0,0,9.1,14.1,14.4,62.4
2200,14.6,85.4,0.0,0,10.0,13.8,12.8,63.4
2400,14.0,86.0,0.0,0,9.0,14.4,13.4,63.2
2600,20.1,79.9,0.0,0,11.8,13.7,11.4,63.0
2800,24.6,75.4,0.0,0,11.8,13.5,7.6,67.1
3000,25.7,74.2,0.0,0,13.3,16.1,10.5,60.1
3200,28.8,71.2,0.0,0,14.5,14.8,6.2,64.5
3400,33.2,66.8,0.0,0,14.1,12.7,6.0,67.3
3600,34.7,65.2,0.0,0,16.2,11.2,6.4,66.1
3800,44.8,55.2,0.0,0,16.6,14.2,4.5,64.7
4000,50.3,49.7,0.0,0,15.4,13.9,5.3,65.4
4200,55.3,44.7,0.0,0,15.0,8.9,2.6,73.6
4400,62.3,37.7,0.0,0,20.0,11.9,3.1,65.0
4600,57.6,42.4,0.0,0,21.1,9.3,4.4,65.1
4800,65.9,34.1,0.0,0,17.5,5.1,1.9,75.6
5000,69.8,30.2,0.0,0,13.7,4.7,1.6,80.0
