"budget, whites, grays, blacks, abort, success, delivered, fail, fail_noway"
200,0.0,20.6,79.4,0,17.1,3.5,13.3,66.1
400,0.2,58.1,41.7,0,9.2,2.9,10.2,77.7
600,1.0,88.7,10.2,0,3.9,2.3,13.1,80.7
800,0.8,98.5,0.6,0,1.0,3.4,9.1,86.5
1000,2.5,97.5,0.0,0,3.7,5.6,8.6,82.1
1200,2.1,97.9,0.0,0,3.8,3.8,9.1,83.2
1400,3.8,96.2,0.0,0,3.9,5.4,13.8,76.8
1600,5.2,94.8,0.0,0,3.4,4.2,5.8,86.7
1800,7.1,92.9,0.0,0,5.4,4.6,8.5,81.5
2000,6.2,93.8,0.0,0,4.8,7.9,7.9,79.4
2200,9.2,90.8,0.0,0,4.8,4.6,3.9,86.7
2400,16.0,84.0,0.0,0,8.8,4.6,4.0,82.6
2600,11.3,88.8,0.0,0,4.6,6.4,4.6,84.4
2800,12.5,87.5,0.0,0,6.0,5.3,3.4,85.4
3000,19.4,80.6,0.0,0,8.3,4.1,2.4,85.2
3200,12.3,87.7,0.0,0,6.7,4.1,2.2,87.0
3400,18.1,81.9,0.0,0,4.7,4.9,3.0,87.5
3600,20.0,80.0,0.0,0,8.8,5.1,2.4,83.8
3800,30.8,69.2,0.0,0,8.9,5.1,1.5,84.6
4000,34.8,65.2,0.0,0,9.6,4.3,2.5,83.5
4200,33.3,66.7,0.0,0,6.6,3.3,0.6,89.5
4400,32.1,67.9,0.0,0,8.4,5.1,2.6,83.9
4600,37.5,62.5,0.0,0,8.6,3.4,1.7,86.3
4800,41.2,58.8,0.0,0,6.5,6.5,1.3,85.7
5000,48.1,51.9,0.0,0,9.4,4.7,2.5,83.4
