"budget, whites, grays, blacks, abort, success, delivered, fail"
1000,0.0,8.4,91.6,0,35.1,7.6,10.6,46.7
2000,0.1,20.2,79.7,0,14.3,6.2,8.1,71.4
3000,0.3,42.0,57.7,0,10.4,4.5,15.6,69.6
4000,0.1,70.8,29.1,0,4.6,3.5,13.5,78.5
5000,0.4,81.4,18.2,0,3.6,2.9,11.4,82.2
6000,0.7,92.1,7.3,0,2.4,2.7,11.3,83.6
7000,1.1,93.8,5.1,0,3.5,2.2,10.5,83.8
8000,1.1,97.9,1.0,0,4.3,3.7,11.4,80.6
9000,1.4,98.2,0.3,0,3.8,3.6,11.7,80.9
10000,2.2,97.8,0.0,0,3.3,4.0,10.1,82.6
11000,2.5,97.5,0.0,0,3.9,5.1,10.1,80.9
12000,2.3,97.7,0.0,0,4.2,4.6,8.4,82.8
13000,3.5,96.5,0.0,0,3.9,4.4,6.4,85.4
14000,3.6,96.4,0.0,0,4.8,7.5,9.5,78.3
15000,3.9,96.1,0.0,0,5.0,4.2,6.2,84.7
16000,4.8,95.2,0.0,0,4.8,5.1,9.4,80.6
17000,4.8,95.2,0.0,0,4.5,4.0,6.9,84.6
18000,5.6,94.4,0.0,0,4.9,5.4,4.9,84.7
19000,8.1,91.9,0.0,0,5.9,5.0,5.7,83.3
20000,5.4,94.6,0.0,0,4.9,5.0,5.8,84.4
21000,7.0,93.0,0.0,0,4.9,6.2,4.4,84.5
22000,10.7,89.3,0.0,0,5.3,5.8,4.7,84.2
23000,10.0,90.0,0.0,0,6.6,5.0,4.9,83.5
24000,10.2,89.7,0.0,0,6.7,6.5,6.3,80.5
25000,10.1,89.9,0.0,0,6.4,7.8,4.1,81.7
26000,10.7,89.3,0.0,0,6.1,4.8,4.2,84.8
27000,12.3,87.7,0.0,0,6.6,4.9,3.9,84.6
28000,14.6,85.4,0.0,0,8.5,5.0,3.7,82.8
29000,14.4,85.6,0.0,0,7.0,6.1,2.8,84.1
30000,17.4,82.6,0.0,0,7.7,6.9,5.3,80.1
31000,16.0,84.0,0.0,0,7.5,4.7,2.2,85.6
32000,20.9,79.1,0.0,0,7.4,5.3,2.9,84.4
33000,20.5,79.5,0.0,0,4.5,5.1,2.0,88.4
34000,24.8,75.2,0.0,0,9.0,3.1,2.3,85.7
35000,22.9,77.1,0.0,0,6.5,5.2,2.9,85.3
36000,25.3,74.7,0.0,0,8.7,5.2,0.9,85.2
37000,25.1,74.9,0.0,0,7.5,4.6,1.1,86.9
38000,28.2,71.8,0.0,0,10.0,4.1,1.8,84.1
39000,28.4,71.6,0.0,0,8.1,3.3,1.1,87.6
40000,28.8,71.2,0.0,0,9.0,3.5,1.3,86.2
41000,32.6,67.4,0.0,0,8.2,5.6,1.2,84.9
42000,32.4,67.6,0.0,0,7.3,3.7,1.1,87.9
43000,39.1,60.9,0.0,0,7.5,2.0,0.4,90.2
44000,37.5,62.5,0.0,0,9.2,4.1,0.9,85.9
45000,35.6,64.4,0.0,0,7.0,3.4,0.2,89.4
46000,39.6,60.4,0.0,0,9.3,3.5,1.2,86.0
47000,36.2,63.7,0.0,0,9.7,5.0,1.2,84.1
48000,38.8,61.2,0.0,0,7.5,5.0,0.3,87.2
49000,41.9,58.1,0.0,0,8.7,3.5,0.1,87.8
50000,42.9,57.1,0.0,0,8.4,3.6,0.4,87.7
